151	MIM|항공코드	메림불라 공항					메림불라 
152	MQL|항공코드	밀두라 공항					밀두라 
153	MBW|항공코드	무라빈 공항					무라빈 
154	MOV|항공코드	모란바 공항					모란바 
155	MRZ|항공코드	모리 공항					모리 
156	MYA|항공코드	모루야 공항					모루야 
157	MGB|항공코드	마운트겜비어 공항					마운트겜비어 
158	MHU|항공코드	마운트 핫탬 공항					마운트 핫탬 
159	ISA|항공코드	마운트이사 공항					마운트이사 
160	WME|항공코드	마운트 키스 공항					마운트 키스 
161	MMG|항공코드	마운트마그넷 공항					마운트마그넷 
162	DGE|항공코드	머지 공항					머지 
163	NAA|항공코드	나라브리 공항					나라브리 
164	NRA|항공코드	나란데라 공항					나란데라 
165	QRM|항공코드	나로민 공항					나로민 
166	ZNE|항공코드	뉴먼 공항					뉴먼 
167	RPM|항공코드	음구쿠르 공항					음구쿠르 
168	GOV|항공코드	누휼런바이 공항  	고브				누휼런바이 
169	NLK|항공코드	노포크아일랜드 공항					노포크아일랜드 
170	NTN|항공코드	노먼턴 공항					노먼턴 
171	RBS|항공코드	오보스트 공항					오보스트 
172	PKM|항공코드	팜아일랜드 공항					팜아일랜드 
173	PBO|항공코드	파라버두 공항					파라버두 
174	PAL|항공코드	팰러필드 공항					팰러필드 
175	PKE|항공코드	파크스 공항					파크스 
176	PER|항공코드	퍼스 국제공항					퍼스 
177	PUG|항공코드	포트오거스타 공항					포트오거스타 
178	PHE|항공코드	포트헤드랜드 국제공항					포트헤드랜드 
179	PKT|항공코드	포트키츠 공항					포트키츠 
180	PLO|항공코드	포트링컨 공항					포트링컨 
181	PQQ|항공코드	포트매콰리 공항					포트매콰리 
182	PPI|항공코드	포트피리 공항					포트피리 
183	PTJ|항공코드	포틀랜드 공항					포틀랜드 
184	ULP|항공코드	킬피에 공항					킬피에 
185	SXE|항공코드	이스트 살레 에어베이스					이스트 살레 에어베이스
186	RCM|항공코드	리치먼드 공군기지					리치먼드 공군기지
187	KTR|항공코드	틴덜 공군기지					틴덜 공군기지
188	UWR|항공코드	우메라 공군기지					우메라 공군기지
189	BHS|항공코드	레글런 공항					레글런 
190	RCL|항공코드	레드클리프 공항					레드클리프 
191	RMK|항공코드	렌마크 공항					렌마크 
192	RCM|항공코드	리치먼드 공항					리치먼드 
193	RBC|항공코드	로빈베일 공항					로빈베일 
194	ROK|항공코드	록햄프턴 공항					록햄프턴 
195	RMA|항공코드	로마 공항					로마 
196	RTS|항공코드	로트네스트아일랜드 공항					로트네스트아일랜드 
197	SGO|항공코드	세인트조지 공항					세인트조지 
198	HLS|항공코드	세인트헬렌스 공항					세인트헬렌스 
199	DNM|항공코드	샤크 배이 공항					샤크 배이 
200	SHT|항공코드	쉐파턴 공항					쉐파턴 
201	SIO|항공코드	스미스턴 공항					스미스턴 
202	SNB|항공코드	스네이크 배이 공항					스네이크 배이 
203	SHQ|항공코드	사우스포트 공항					사우스포트 
204	OAG|항공코드	스프링힐 공항					스프링힐 
205	SWC|항공코드	스타웰 공항					스타웰 
206	SRN|항공코드	스트라한 공항					스트라한 
207	SWH|항공코드	스완힐 공항					스완힐 
208	TMW|항공코드	탬워스 공항					탬워스 
209	TRO|항공코드	타리 공항					타리 
210	XTO|항공코드	타룸 공항					타룸 
211	TEM|항공코드	테모라 공항					테모라 
212	TCA|항공코드	테넌트크릭 공항					테넌트크릭 
213	THG|항공코드	탄굴 공항					탄굴 
214	XTG|항공코드	타르고민다 공항					타르고민다 
215	TYB|항공코드	티부버라 공항					티부버라 
216	TCW|항공코드	토쿰왈 공항					토쿰왈 
217	TWB|항공코드	터움바 공항					터움바 
218	TSV|항공코드	타운스빌 국제공항					타운스빌 
219	MEL|항공코드	툴라마린 공항  	멜버른				툴라마린 
220	TUM|항공코드	투무트 공항					투무트 
221	WGE|항공코드	왈겟 공항					왈겟 
222	WGT|항공코드	왕가라타 공항					왕가라타 
223	WKB|항공코드	워랙나빌 공항					워랙나빌 
224	QRR|항공코드	우렌 공항					우렌 
225	WMB|항공코드	월냄불 공항					월냄불 
226	WEI|항공코드	웨이파 공항					웨이파 
227	WWY|항공코드	웨스트 왈룽 공항					웨스트 왈룽 
228	WSY|항공코드	휘쳔데이 에어스트립					휘쳔데이 에어스트립
229	PPP|항공코드	휘천데이 코스트 공항					휘천데이 코스트 
230	WYA|항공코드	왈랴 공항					왈랴 
231	NTL|항공코드	윌리암타운 공항					윌리암타운 
232	HWK|항공코드	윌피나 파운드 공항					윌피나 파운드 
233	WUN|항공코드	윌루나 공항					윌루나 
234	WNR|항공코드	윈도라 공항					윈도라 
235	WIN|항공코드	윈턴 공항					윈턴 
236	WOL|항공코드	울릉공 공항					울릉공 
237	WUD|항공코드	우디나 공항					우디나 
238	NGA|항공코드	영 공항					영 
239	PRI|항공코드	윌킨즈 런웨이					윌킨즈 런웨이
240	KVD|항공코드	지안쟈 국제공항					지안쟈 
241	BAK|항공코드	헤이다 알리예프 국제공항					헤이다 알리예프 
242	NAJ|항공코드	나히체반 공항					나히체반 
243	ZXT|항공코드	자브랏트 공항					자브랏트 
244	BZL|항공코드	바리살 공항					바리살 
245	CLA|항공코드	코밀라 공항					코밀라 
246	CXB|항공코드	콕스즈바자르 공항					콕스즈바자르 
247	IRD|항공코드	이셔디 공항					이셔디 
248	JSR|항공코드	제소르 공항					제소르 
249	CGP|항공코드	샤아마낫 국제공항 	파탠가				샤아마낫 
250	RJH|항공코드	라샤히 공항					라샤히 
251	SPD|항공코드	새드퍼 공항					새드퍼 
252	ZHM|항공코드	샴세르나가 공항					샴세르나가 
253	ZYL|항공코드	오스마니 국제공항 	실헷	시빌			오스마니 
254	TKR|항공코드	타쿠르가온 공항					타쿠르가온 
255	DAC|항공코드	지아 국제공항					지아 
256	PBH|항공코드	파로 공항					파로 
257	QJC|항공코드	팀부 공항					팀부 
258	NKW|항공코드	디에고가르시아 트랙킹 스테이션					디에고가르시아 트랙킹 스테이션
259	EIS|항공코드	비프 아일랜드 공항					비프 아일랜드 
