PHE|항공코드,포트헤드랜드 국제공항,포트헤드랜드 ,,,
PKT|항공코드,포트키츠 공항,포트키츠 ,,,
PLO|항공코드,포트링컨 공항,포트링컨 ,,,
PQQ|항공코드,포트매콰리 공항,포트매콰리 ,,,
PPI|항공코드,포트피리 공항,포트피리 ,,,
PTJ|항공코드,포틀랜드 공항,포틀랜드 ,,,
ULP|항공코드,킬피에 공항,킬피에 ,,,
SXE|항공코드,이스트 살레 에어베이스,이스트 살레 에어베이스,,,
RCM|항공코드,리치먼드 공군기지,리치먼드 공군기지,,,
KTR|항공코드,틴덜 공군기지,틴덜 공군기지,,,
UWR|항공코드,우메라 공군기지,우메라 공군기지,,,
BHS|항공코드,레글런 공항,레글런 ,,,
RCL|항공코드,레드클리프 공항,레드클리프 ,,,
RMK|항공코드,렌마크 공항,렌마크 ,,,
RCM|항공코드,리치먼드 공항,리치먼드 ,,,
RBC|항공코드,로빈베일 공항,로빈베일 ,,,
ROK|항공코드,록햄프턴 공항,록햄프턴 ,,,
RMA|항공코드,로마 공항,로마 ,,,
RTS|항공코드,로트네스트아일랜드 공항,로트네스트아일랜드 ,,,
SGO|항공코드,세인트조지 공항,세인트조지 ,,,
HLS|항공코드,세인트헬렌스 공항,세인트헬렌스 ,,,
DNM|항공코드,샤크 배이 공항,샤크 배이 ,,,
SHT|항공코드,쉐파턴 공항,쉐파턴 ,,,
SIO|항공코드,스미스턴 공항,스미스턴 ,,,
SNB|항공코드,스네이크 배이 공항,스네이크 배이 ,,,
SHQ|항공코드,사우스포트 공항,사우스포트 ,,,
OAG|항공코드,스프링힐 공항,스프링힐 ,,,
SWC|항공코드,스타웰 공항,스타웰 ,,,
SRN|항공코드,스트라한 공항,스트라한 ,,,
SWH|항공코드,스완힐 공항,스완힐 ,,,
TMW|항공코드,탬워스 공항,탬워스 ,,,
TRO|항공코드,타리 공항,타리 ,,,
XTO|항공코드,타룸 공항,타룸 ,,,
TEM|항공코드,테모라 공항,테모라 ,,,
TCA|항공코드,테넌트크릭 공항,테넌트크릭 ,,,
THG|항공코드,탄굴 공항,탄굴 ,,,
XTG|항공코드,타르고민다 공항,타르고민다 ,,,
TYB|항공코드,티부버라 공항,티부버라 ,,,
TCW|항공코드,토쿰왈 공항,토쿰왈 ,,,
TWB|항공코드,터움바 공항,터움바 ,,,
TSV|항공코드,타운스빌 국제공항,타운스빌 ,,,
MEL|항공코드,툴라마린 공항  ,툴라마린 ,멜버른,,
TUM|항공코드,투무트 공항,투무트 ,,,
WGE|항공코드,왈겟 공항,왈겟 ,,,
WGT|항공코드,왕가라타 공항,왕가라타 ,,,
