TKP|항공코드,타카포토 공항,,,,
TKX|항공코드,타카로아 공항,,,,
TKV|항공코드,타타코토 공항,,,,
MOZ|항공코드,테마에 공항,,,,
TTI|항공코드,테티아로아 공항,,,,
TIH|항공코드,타케하우 공항,,,,
GMR|항공코드,톳트제리 공항,,,,
TUB|항공코드,투부아이 공항,,,,
UAP|항공코드,우아 파우 공항,,,,
UAH|항공코드,우아 후카 공항,,,,
RFP|항공코드,우투로아 공항,,,,
VHZ|항공코드,버히타이 공항,,,,
SUI|항공코드,바부세리 공항,,,,
BUS|항공코드,바투미 공항,,,,
KUT|항공코드,코핏나리 공항,,,,
TBS|항공코드,트빌리시 국제공항 ,노보,알렉세이프카,,
GUM|항공코드,안토니오 보르냐 원 팟 국제공항,,,,
HKG|항공코드,홍콩 국제공항  ,첵랍콕,,,
AGX|항공코드,아가티 비행장,,,,
AKD|항공코드,아콜라 공항,,,,
IXV|항공코드,알롱 공항,,,,
LKO|항공코드,아마우시 공항,,,,
IXB|항공코드,바그도그라 공항,,,,
IXE|항공코드,바즈페 공항,,,,
RGH|항공코드,발루갓 공항,,,,
IXD|항공코드,밤라울리 공항,,,,
TCR|항공코드,투티코린 공항,,,,
HYD|항공코드,라지브간디 국제공항 ,하이데라바드,,,
BEP|항공코드,벨라리 공항,,,,
BHU|항공코드,바브하가 공항,,,,
BUP|항공코드,비자냐 공군기지,,,,
BHO|항공코드,라자 보 공항 ,보팔,,,
KUU|항공코드,분타르 공항,,,,
BBI|항공코드,비주 타르나익 공항 ,부다네스와,,,
PAB|항공코드,빌라스푸르 공항,,,,
IXR|항공코드,버사 문다 공항,란치,,,
GAU|항공코드,보리쟈 공항,,,,
CCJ|항공코드,칼리컷 국제공항  ,카리푸르,,,
CBD|항공코드,카니코바 공군기지,,,,
DIB|항공코드,츄부아 공항,,,,
KNU|항공코드,챠케리 공군기지,,,,
IXC|항공코드,찬디가르 공항,,,,
MAA|항공코드,첸나이 국제공항,,,,
BOM|항공코드,채해트라피티 시버지 국제공항,,,,
IXU|항공코드,티칼타나 공항,,,,
COK|항공코드,코친 국제공항,,,,
COH|항공코드,쿠치베하 공항,,,,
CDP|항공코드,쿠다파 공항,,,,
GOI|항공코드,다보림 공항,,,,
NMB|항공코드,담만 공항,,,,
DAE|항공코드,다파리조 공항,,,,
DEP|항공코드,데파리조 공항,,,,
IDR|항공코드,데비 아힐야바이 홀카 국제공항 ,인도레,,,
DBD|항공코드,단바드 공항,,,,
DMU|항공코드,디마푸르 공항,,,,
DIU|항공코드,디우 공항,,,,
DHM|항공코드,개갈 공항,,,,
IXY|항공코드,간디햄 ,칸들라,,,
ISK|항공코드,간디나가르 공항,,,,
GAY|항공코드,가야 공항,,,,
GOP|항공코드,고라크푸르 공군기지,,,,
JGA|항공코드,고바르단푸르 공항,,,,
GUX|항공코드,구나 공항,,,,
GWL|항공코드,관리오르 공항  ,마해라즈퍼 공군기지,,,
HSS|항공코드,히사르 공항,,,,
HBX|항공코드,후블리,,,,
IMF|항공코드,임팔 시공항,,,,
DEL|항공코드,인디라 간디 국제공항,,,,
JLR|항공코드,자발푸르 공항,,,,
JGB|항공코드,자그달푸르 공항,,,,
JSA|항공코드,자이살머 공항,,,,
PYB|항공코드,제이포르 공항,,,,
JDH|항공코드,조드푸르 공항,,,,
DED|항공코드,졸리 그란트 공항,,,,
IXK|항공코드,저너가더 공항,케쇼드,,,
IXH|항공코드,카일라샤하 공항,,,,
IXQ|항공코드,카말푸르 공항,,,,
KNU|항공코드,칸푸르 공항,,,,
HJR|항공코드,카주라호 공항,,,,
AGR|항공코드,케리아 공항 ,애본,파크,,
IXN|항공코드,코와이 공항,,,,
KLH|항공코드,콜하푸르 공항,,,,
KTU|항공코드,코타 공항,,,,
IXS|항공코드,쿰비히그람 공항,,,,
IXL|항공코드,레 공군기지,,,,
IXI|항공코드,릴라바리 공항,,,,
PNQ|항공코드,로헤가온 공항,,,,
PAT|항공코드,록 나약 자야 프라카쉬 나라얀 공항 ,파트나,,,
IXM|항공코드,마두라이 공항,,,,
LDA|항공코드,말다 공항,,,,
DIB|항공코드,모한바리 공항,,,,
MZU|항공코드,무자파르푸르 공항,,,,
MYQ|항공코드,마이소르 공항,,,,
BKN|항공코드,날 공군기지,,,,
NDC|항공코드,난데드 공항,,,,
CCU|항공코드,네타지 쉽하스 챤드라 공항,,,,
NVY|항공코드,니벨리 공항,,,,
PGH|항공코드,판트니가르 공항,,,,
IXT|항공코드,파씨갓 공항,,,,
IXP|항공코드,패단콧 공군기지,,,,
CJB|항공코드,필라메두 공항,,,,
PNY|항공코드,퐁디셰리 공항,,,,
PBD|항공코드,포르반다르 공항,,,,
PUT|항공코드,푸타파티 공항,,,,
RPR|항공코드,라이푸르 공항,,,,
ATQ|항공코드,라자 산시 공항,,,,
RJA|항공코드,라자문드리 공항,,,,
RAJ|항공코드,라지코트 시빌 공항,,,,
RTC|항공코드,라트나지리 공항,,,,
RRK|항공코드,루켈라 공항,,,,
JRH|항공코드,로우리앗 공항,,,,
BHJ|항공코드,룬드라 마타 공항,,,,
LUH|항공코드,사네왈 공항,,,,
SXV|항공코드,세일럼 공항,,,,
IXG|항공코드,삼브르 공항,,,,
JAI|항공코드,상그니어 공항,,,,
AMD|항공코드,사다르 발랍하이 파텔 국제공항 ,아메다바드,,,
TNI|항공코드,사트나 공항,,,,
IXJ|항공코드,사트와리 공항,,,,
SHL|항공코드,실롱 공항,,,,
SLV|항공코드,심라 공항,,,,
SSE|항공코드,솔라푸르 공항,,,,
IXA|항공코드,싱거힐 공항,,,,
IXW|항공코드,소나리 공항,,,,
NAG|항공코드,암베드카 국제공항 ,소네가온,,,
PUT|항공코드,스리 사티야 사이 공항,,,,
SXR|항공코드,스리나가르 공군기지,,,,
STV|항공코드,수라트 공항,,,,
TJV|항공코드,탄조레 공군기지,,,,
TEZ|항공코드,테즈퍼 공항 ,살로니바리,,,
TRV|항공코드,트리반드럼 국제공항,,,,
TRZ|항공코드,티룬치라팔리 시빌 공항,,,,
TIR|항공코드,티루파티 공항,,,,
AJL|항공코드,투리알 공군기지,,,,
UDR|항공코드,마하나라 프라탑 공항 ,우디퍼,,,
BDQ|항공코드,바도다라 공항 ,바도다라 공군기지,,,
VNS|항공코드,라이 바하두르 샤스트리 공항 ,바라나시,,,
VGA|항공코드,비쟈와와다 공항,,,,
IXZ|항공코드,버 사바카르 ,포트블레어,,,
VTZ|항공코드,비샤카파트남 공항,,,,
WGC|항공코드,와랑갈 공항,,,,
YLK|항공코드,얄라행카 공군기지,,,,
ZER|항공코드,제로 공항,,,,
BLR|항공코드,벵갈루루 국제공항,,,,
MLG|항공코드,압둘 라흐만 살레 공항,,,,
RSK|항공코드,아브레소 공항,,,,
SRG|항공코드,아츠마드 야니 공항,,,,
SOC|항공코드,아디 수마르모 국제공항,,,,
JOG|항공코드,아디숫집토 공항,,,,
AEG|항공코드,아엑 고당 공항,,,,
AHI|항공코드,아마하이 공항,,,,
MXB|항공코드,안디 제마 공항,,,,
ARJ|항공코드,아르소 공항,,,,
BXB|항공코드,바보 공항,,,,
TTE|항공코드,바둘라 공항,,,,
BXD|항공코드,베이드 공항,,,,
BTW|항공코드,바투리신 공항,,,,
BUW|항공코드,베토암바리 공항,,,,
GNS|항공코드,비나카 공항,,,,
BTJ|항공코드,발랑 빈탕 공항,,,,
BUI|항공코드,보콘디니 공항,,,,
BXT|항공코드,본탕 공항,,,,
SWQ|항공코드,브랑 비드지 공항,,,,
LUW|항공코드,부둥 공항,,,,
TJQ|항공코드,부루툼방 공항,,,,
BYQ|항공코드,분유 공항,,,,
TSY|항공코드,치베레움 공항,,,,
MEQ|항공코드,쿠니약디엔 공항,,,,
SIQ|항공코드,다보 공항,,,,
DOB|항공코드,도보 공항,,,,
LUV|항공코드,두마투빈 공항,,,,
KOE|항공코드,엘타리 공항,,,,
EWI|항공코드,에나로타리 공항,,,,
GLX|항공코드,감마르말라모 공항,,,,
LKA|항공코드,게와엔타나 공항,,,,
HLP|항공코드,하림 페다나 쿠수마 공항,,,,
ABU|항공코드,할리웬 공항,,,,
BTH|항공코드,행 다님 공항,,,,
SMQ|항공코드,하산 공항,,,,
UPG|항공코드,하사누딘 공항,,,,
BDO|항공코드,후세인 사스트라네가라 공항,,,,
ILA|항공코드,일라가 공항,,,,
INX|항공코드,이난와탄 공항,,,,
ENE|항공코드,이피 공항,,,,
